Servant,id,Avatar,avp,AvatarMax,Nick,R,Class,Attr.,C1,C2,C3,C4,C5,HP,ATK,Availability,asc11,asc11n,asc12,asc12n,asc13,asc13n,asc21,,asc22,,asc23,,asc24,,asc31,,asc32,,asc33,,asc41,,asc42,,asc43,,asc44,,skill11,,skill12,,skill13,,skill21,,skill22,,skill23,,skill24,,skill31,,skill32,,skill33,,skill41,,skill42,,skill43,,skill44,,skill51,,skill52,,skill53,,skill61,,skill62,,skill63,,skill64,,skill71,,skill72,,skill81,,skill82,,campaign1,campaign2,campaign3
Helena Blavatsky [Archer],180,https://vignette.wikia.nocookie.net/fategrandorder/images/8/8c/S180.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/0/0f/HelenaArcherFinalIcon.png/revision/latest?cb=20180214113904,Summer Helena,4,Archer,Man,B,A,A,Q,Q,11404,9446,Limited,pieceArcher,4,,,,,pieceArcher,10,Jewel,5,,,,,monumentArcher,4,Lamp,5,Grease,3,monumentArcher,10,Grease,5,Seashell,10,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Lamp,3,,,,,goldArcher,4,Lamp,5,,,goldArcher,10,Jewel,4,,,,,Jewel,7,Dust,10,Dust,30,Tearstone,12,,,
Henry Jekyll & Hyde,81,https://vignette.wikia.nocookie.net/fategrandorder/images/1/18/Jekyllicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/ca/HenryJekyllFinalIcon.png/revision/latest?cb=20180217094022,Jekyll,3,Assassin,Earth,B,B,A,Q,Q,9675,6320,Permanent,pieceAssassin,4,,,,,pieceAssassin,8,Bone,15,,,,,monumentAssassin,4,Dust,13,Crystal,4,monumentAssassin,8,Crystal,7,Baby,8,,,blueAssassin,4,,,,,blueAssassin,8,,,,,,,redAssassin,4,,,,,redAssassin,8,Dust,7,,,,,goldAssassin,4,Dust,13,,,goldAssassin,8,Bone,10,,,,,Bone,20,Heart,2,Heart,5,Baby,16,,,
Heracles,47,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1e/Heraclesicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/14/HeraclesFinalIcon.png/revision/latest?cb=20180212022243,Heracles,4,Berserker,Sky,B,B,B,A,Q,10327,10655,Permanent,pieceBerserker,4,,,,,pieceBerserker,10,Crystal,6,,,,,monumentBerserker,4,Heart,4,Claw,3,monumentBerserker,10,Claw,5,Scale,4,,,blueBerserker,4,,,,,blueBerserker,10,,,,,,,redBerserker,4,,,,,redBerserker,10,Heart,2,,,,,goldBerserker,4,Heart,4,,,goldBerserker,10,Crystal,4,,,,,Crystal,8,Proof,15,Proof,45,Scale,8,,,
Hessian Lobo,158,https://vignette.wikia.nocookie.net/fategrandorder/images/0/07/HessianLoboIcon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c4/HessianLoboFinalIcon.png/revision/latest?cb=20180219123956,Lobo,4,Avenger,Earth,B,A,A,Q,Q,9949,10628,Permanent,Bone,8,Lantern,8,,,Grease,8,Dust,8,,,,,Tearstone,8,Fluid,8,,,Gallstone,8,Lanugo,8,,,,,Bone,8,,,,,Dust,8,,,,,,,Lantern,10,,,,,Seashell,10,,,,,,,Claw,10,,,,,Grease,12,,,,,,,Tearstone,12,,,Gallstone,12,,,,,
Hijikata Toshizou,161,https://vignette.wikia.nocookie.net/fategrandorder/images/4/49/HijikataIcon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/de/HijikataToshizouFinalIcon.png/revision/latest?cb=20180218073746,Hijikata,5,Berserker,Man,B,B,A,Q,Q,12028,12089,Limited,pieceBerserker,5,,,,,pieceBerserker,12,Proof,22,,,,,monumentBerserker,5,Chain,29,Tearstone,3,monumentBerserker,12,Tearstone,6,Gallstone,5,,,blueBerserker,5,,,,,blueBerserker,12,,,,,,,redBerserker,5,,,,,redBerserker,12,Chain,15,,,,,goldBerserker,5,Chain,29,,,goldBerserker,12,Proof,15,,,,,Proof,29,Fluid,18,Fluid,54,Gear,24,Hunting Quest 9,,
Himiko,292,https://vignette.wikia.nocookie.net/fategrandorder/images/6/65/S292A1Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e0/S292A4Icon.png,Himiko,5,Ruler,Earth,B,B,A,A,Q,15000,10659,Limited,pieceArcher,5,pieceRider,5,pieceCaster,5,pieceSaber,5,pieceLancer,5,pieceAssassin,5,pieceBerserker,5,monumentArcher,5,monumentRider,5,monumentCaster,5,monumentSaber,5,monumentLancer,5,monumentAssassin,5,monumentBerserker,5,blueArcher,5,blueRider,5,blueCaster,5,blueSaber,5,blueLancer,5,blueAssassin,5,blueBerserker,5,redArcher,5,redRider,5,redCaster,5,redSaber,5,redLancer,5,redAssassin,5,redBerserker,5,goldArcher,5,goldRider,5,goldCaster,5,goldSaber,5,goldLancer,5,goldAssassin,5,goldBerserker,5,Magatama,12,,,Mirror,15,,,GudaGuda Yamatai-koku,,
Hozoin Inshun,186,https://vignette.wikia.nocookie.net/fategrandorder/images/b/bf/S186.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/4b/HouzouinInshunFinalIcon.png/revision/latest?cb=20180214130241,Hozoin,3,Lancer,Man,B,A,Q,Q,Q,9996,6791,Permanent,pieceLancer,4,,,,,pieceLancer,8,Horn,3,,,,,monumentLancer,4,Crystal,7,Feather,3,monumentLancer,8,Feather,6,Heart,4,,,blueLancer,4,,,,,blueLancer,8,,,,,,,redLancer,4,,,,,redLancer,8,Crystal,4,,,,,goldLancer,4,Crystal,7,,,goldLancer,8,Horn,2,,,,,Horn,4,Magatama,4,Magatama,12,Bone,48,,,
Ibaraki Douji,116,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d0/Ibarakiicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/47/IbarakiDoujiFinalIcon.png/revision/latest?cb=20180218073753,Ibaraki,4,Berserker,Earth,B,B,B,A,Q,10954,9636,Permanent,pieceBerserker,4,,,,,pieceBerserker,10,Crystal,6,,,,,monumentBerserker,4,Claw,5,Feather,4,monumentBerserker,10,Feather,7,Heart,4,,,blueBerserker,4,,,,,blueBerserker,10,,,,,,,redBerserker,4,,,,,redBerserker,10,Claw,3,,,,,goldBerserker,4,Claw,5,,,goldBerserker,10,Crystal,4,,,,,Crystal,8,Dust,10,Dust,30,Tearstone,12,ONILAND Re-Run,Heian-kyou Pre-Release Campaign,
Ibaraki Douji [Lancer],217,https://vignette.wikia.nocookie.net/fategrandorder/images/3/33/S217Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/46/IbarakiDoujiLancerFinalIcon.png/revision/latest?cb=20180815152033,Lancer Ibaraki,4,Lancer,Earth,B,B,A,Q,Q,12354,9133,Limited,pieceLancer,4,,,,,pieceLancer,10,Bone,18,,,,,monumentLancer,4,Lamp,5,Grease,3,monumentLancer,10,Grease,5,Wine,4,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Lamp,3,,,,,goldLancer,4,Lamp,5,,,goldLancer,10,Bone,12,,,,,Bone,24,Gunpowder,15,Gunpowder,45,Seashell,20,Servant Summer Festival Re-Run,ONILAND Re-Run,
Ibuki Douji,299,https://static.wikia.nocookie.net/fategrandorder/images/9/97/S299Icon.png/,,https://static.wikia.nocookie.net/fategrandorder/images/7/7d/S299A4Icon.png/,Ibuki,5,Saber,Sky,B,B,B,A,Q,13498,12709,Limited,pieceSaber,5,,,,,pieceSaber,12,Jewel,6,,,,,monumentSaber,5,Bone,29,Wine,2,monumentSaber,12,Wine,4,Flame,5,,,blueSaber,5,,,,,blueSaber,12,,,,,,,redSaber,5,,,,,redSaber,12,Bone,15,,,,,goldSaber,5,Bone,29,,,goldSaber,12,Jewel,4,,,,,Jewel,8,Scale,3,Scale,8,Flame,10,Heian-kyou Chapter Release,,
Illyasviel von Einzbern,136,https://vignette.wikia.nocookie.net/fategrandorder/images/2/2f/Illyaprismaicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d7/IllyasvielFinalIcon.png/revision/latest?cb=20180216123115,Illya,5,Caster,Man,B,A,A,A,Q,13825,10857,Limited,pieceCaster,5,,,,,pieceCaster,12,Seed,9,,,,,monumentCaster,5,Page,10,Feather,4,monumentCaster,12,Feather,8,Scarab,5,,,blueCaster,5,,,,,blueCaster,12,,,,,,,redCaster,5,,,,,redCaster,12,Page,5,,,,,goldCaster,5,Page,10,,,goldCaster,12,Seed,6,,,,,Seed,12,Baby,6,Baby,18,Root,10,New Year 2021,,
Illyasviel von Einzbern [Archer],286,https://vignette.wikia.nocookie.net/fategrandorder/images/f/fc/S286Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f7/IllyasvielVonEinzbernArcherFinalIcon.png,Summer Illya,4,Archer,Man,B,A,A,Q,Q,10914,10098,Limited,pieceArcher,4,,,,,pieceArcher,10,Claw,4,,,,,monumentArcher,4,Seashell,8,Feather,4,monumentArcher,10,Feather,7,Egg,4,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Seashell,4,,,,,goldArcher,4,Seashell,8,,,goldArcher,10,Claw,3,,,,,Claw,5,Fluid,15,Fluid,45,Vein,20,Servant Summer Camp,Servant Summer Camp Re-Run,
Irisviel [Dress of Heaven],111,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e5/Irisvielicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/cb/IrisvielFinalIcon.png/revision/latest?cb=20180204180554,Irisviel,4,Caster,Sky,B,A,A,A,Q,12476,8237,Welfare,Ball,1,,,,,Ball,1,,,,,,,Ball,1,,,,,Ball,1,,,,,,,blueCaster,4,,,,,blueCaster,10,,,,,,,redCaster,4,,,,,redCaster,10,Seed,5,,,,,goldCaster,4,Seed,10,,,goldCaster,10,Baby,4,,,,,Baby,8,Feather,4,Feather,12,Root,8,,,
Ishtar,142,https://vignette.wikia.nocookie.net/fategrandorder/images/3/33/Ishtar_icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a6/IshtarFinalIcon.png/revision/latest?cb=20180214113747,Ishtar,5,Archer,Sky,B,B,A,A,Q,13965,12252,Limited,pieceArcher,5,,,,,pieceArcher,12,Crystal,8,,,,,monumentArcher,5,Feather,8,Scarab,2,monumentArcher,12,Scarab,4,Tearstone,8,,,blueArcher,5,,,,,blueArcher,12,,,,,,,redArcher,5,,,,,redArcher,12,Feather,4,,,,,goldArcher,5,Feather,8,,,goldArcher,12,Crystal,5,,,,,Crystal,10,Jewel,5,Jewel,15,Lamp,15,20M Downloads Campaign,,
Ishtar [Rider],182,https://vignette.wikia.nocookie.net/fategrandorder/images/b/bd/IshtarSummer.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/cd/IshtarRiderFinalIcon.png/revision/latest?cb=20180215130337,Rider Ishtar,4,Rider,Sky,B,A,A,Q,Q,10692,9603,Welfare,Reed,1,,,,,Reed,1,,,,,,,Reed,1,,,,,Reed,1,,,,,,,blueRider,4,,,,,blueRider,10,,,,,,,redRider,4,,,,,redRider,10,Seashell,4,,,,,goldRider,4,Seashell,8,,,goldRider,10,Lanugo,3,,,,,Lanugo,5,Scarab,2,Scarab,6,Wine,8,,,
Iskandar,108,https://vignette.wikia.nocookie.net/fategrandorder/images/8/83/Iskandaricon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/43/IskanderFinalIcon.png/revision/latest?cb=20180215130253,Iskandar,5,Rider,Man,B,B,A,A,Q,13219,11560,Limited,pieceRider,5,,,,,pieceRider,12,Horseshoe,8,,,,,monumentRider,5,Proof,29,Crystal,5,monumentRider,12,Crystal,10,Horn,8,,,blueRider,5,,,,,blueRider,12,,,,,,,redRider,5,,,,,redRider,12,Proof,15,,,,,goldRider,5,Proof,29,,,goldRider,12,Horseshoe,5,,,,,Horseshoe,10,Seed,8,Seed,22,Feather,20,,,
Ivan the Terrible,205,https://vignette.wikia.nocookie.net/fategrandorder/images/3/31/IvanIcon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/0/0f/IvanFinalIcon.png/revision/latest?cb=20180529143142,Ivan,5,Rider,Man,B,B,A,A,Q,13284,11619,Limited,pieceRider,5,,,,,pieceRider,12,Bone,22,,,,,monumentRider,5,Horseshoe,10,Lanugo,3,monumentRider,12,Lanugo,6,Gallstone,5,,,blueRider,5,,,,,blueRider,12,,,,,,,redRider,5,,,,,redRider,12,Horseshoe,5,,,,,goldRider,5,Horseshoe,10,,,goldRider,12,Bone,15,,,,,Bone,29,Stinger,15,Stinger,44,Permafrost,24,,,
Jack the Ripper,75,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d6/Jackicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/38/JackTheRipperFinalIcon.png/revision/latest?cb=20180211124308,Jack,5,Assassin,Earth,B,A,Q,Q,Q,12696,11557,Permanent,pieceAssassin,5,,,,,pieceAssassin,12,Bone,22,,,,,monumentAssassin,5,Dust,20,Gear,5,monumentAssassin,12,Gear,10,Claw,8,,,blueAssassin,5,,,,,blueAssassin,12,,,,,,,redAssassin,5,,,,,redAssassin,12,Dust,10,,,,,goldAssassin,5,Dust,20,,,goldAssassin,12,Bone,15,,,,,Bone,29,Heart,3,Heart,8,Claw,15,Interlude Campaign 10,Valentine's 2020,Apocrypha Collab Re-Run
Jaguar Man,148,https://vignette.wikia.nocookie.net/fategrandorder/images/6/6e/Jaguarmanicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/75/JaguarManFinalIcon.png/revision/latest?cb=20180214131403,Taiga,3,Lancer,Earth,B,B,A,Q,Q,9593,7022,Story-locked,pieceLancer,4,,,,,pieceLancer,8,Seed,6,,,,,monumentLancer,4,Claw,4,Grease,2,monumentLancer,8,Grease,4,Lanugo,5,,,blueLancer,4,,,,,blueLancer,8,,,,,,,redLancer,4,,,,,redLancer,8,Claw,2,,,,,goldLancer,4,Claw,4,,,goldLancer,8,Seed,4,,,,,Seed,8,Gallstone,2,Gallstone,5,Horn,10,Battle in New York 2019,,
James Moriarty,156,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e4/ShinjukuArcherIcon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d5/JamesMoriartyFinalIcon.png/revision/latest?cb=20180214113755,Moriarty,5,Archer,Man,B,A,A,A,Q,13685,11781,Limited,pieceArcher,5,,,,,pieceArcher,12,Page,8,,,,,monumentArcher,5,Stinger,24,Claw,3,monumentArcher,12,Claw,6,Scarab,5,,,blueArcher,5,,,,,blueArcher,12,,,,,,,redArcher,5,,,,,redArcher,12,Stinger,12,,,,,goldArcher,5,Stinger,24,,,goldArcher,12,Page,5,,,,,Page,10,Dust,12,Dust,36,Fluid,72,Servant Strengthening Quests XIII,,
Jason,254,https://vignette.wikia.nocookie.net/fategrandorder/images/8/8e/S254Icon.png/revision/latest?cb=20190804164223,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/eb/JasonFinalIcon.png/revision/latest?cb=20190804164600,Jason,1,Saber,Earth,B,B,A,A,Q,7575,5457,Permanent,pieceSaber,2,,,,,pieceSaber,4,Fang,6,,,,,monumentSaber,2,Proof,10,Feather,2,monumentSaber,4,Feather,3,Lanugo,3,,,blueSaber,2,,,,,blueSaber,4,,,,,,,redSaber,2,,,,,redSaber,4,Proof,5,,,,,goldSaber,2,Proof,10,,,goldSaber,4,Fang,4,,,,,Fang,8,Ring,2,Ring,6,Egg,4,,,
Jeanne D'Arc,59,https://vignette.wikia.nocookie.net/fategrandorder/images/c/cf/Jeanneicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e1/JeanneFinalIcon.png/revision/latest?cb=20180212023421,Jeanne,5,Ruler,Star,B,A,A,A,Q,16500,9593,Permanent,pieceSaber,5,pieceArcher,5,pieceLancer,5,pieceRider,5,pieceCaster,5,pieceCaster,5,pieceBerserker,5,monumentSaber,5,monumentArcher,5,monumentLancer,5,monumentRider,5,monumentCaster,5,monumentAssassin,5,monumentBerserker,5,blueSaber,5,blueArcher,5,blueLancer,5,blueRider,5,blueCaster,5,blueAssassin,5,blueBerserker,5,redSaber,5,redArcher,5,redLancer,5,redRider,5,redCaster,5,redAssassin,5,redBerserker,5,goldSaber,5,goldArcher,5,goldLancer,5,goldRider,5,goldCaster,5,goldAssassin,5,goldBerserker,5,Heart,5,,,Heart,15,,,Valentine's 2020,Valentine's 2021,FGO x Waltz Collab Pre-Campaign
Jeanne D'Arc [Alter],106,https://vignette.wikia.nocookie.net/fategrandorder/images/4/4a/Jeannealtericon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/43/JeanneAlterFinalIcon.png/revision/latest?cb=20180219124018,Jalter,5,Avenger,Man,B,B,A,A,Q,11761,13244,Limited,Proof,10,Dust,10,,,Crystal,10,Gear,10,,,,,Feather,10,Claw,10,,,Tearstone,10,Heart,10,,,,,Fang,10,,,,,Bone,10,,,,,,,Seed,12,,,,,Page,12,,,,,,,Jewel,12,,,,,Lantern,15,,,,,,,Horn,15,,,Heart,15,,,20M Downloads Campaign,,
Jeanne D'Arc [Archer],216,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f4/S216Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/17/JeanneArcherFinalIcon.png/revision/latest?cb=20180815152052,Archer Jeanne,5,Archer,Man,B,B,A,A,Q,15743,10525,Limited,pieceArcher,5,,,,,pieceArcher,12,Permafrost,8,,,,,monumentArcher,5,Seashell,10,Steel,5,monumentArcher,12,Steel,10,Scarab,5,,,blueArcher,5,,,,,blueArcher,12,,,,,,,redArcher,5,,,,,redArcher,12,Seashell,5,,,,,goldArcher,5,Seashell,10,,,goldArcher,12,Permafrost,5,,,,,Permafrost,10,Feather,5,Feather,15,Wine,10,Servant Summer Festival Re-Run,,
Jeanne D'Arc [Berserker Alter],219,https://vignette.wikia.nocookie.net/fategrandorder/images/8/84/S219Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/5b/JeanneAlterBerserkerFinalIcon.png/revision/latest?cb=20180815152038,Jaltzerker,4,Berserker,Man,B,B,B,A,Q,9922,10298,Welfare,Quill,1,,,,,Quill,1,,,,,,,Quill,1,,,,,Quill,1,,,,,,,blueBerserker,4,,,,,blueBerserker,10,,,,,,,redBerserker,4,,,,,redBerserker,10,Page,4,,,,,goldBerserker,4,Page,8,,,goldBerserker,10,Seashell,4,,,,,Seashell,8,Magatama,5,Magatama,15,Gallstone,8,Servant Summer Festival Re-Run,,
Jeanne D'Arc [Santa Alter Lily],141,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f0/Jalter_Lily_Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/41/JeanneAlterSantaLilyFinalIcon.png/revision/latest?cb=20180214132218,Jailter,4,Lancer,Man,B,B,A,Q,Q,11870,9261,Welfare,Doll,1,,,,,Doll,1,,,,,,,Doll,1,,,,,Doll,1,,,,,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Seashell,4,,,,,goldLancer,4,Seashell,8,,,goldLancer,10,Seed,5,,,,,Seed,10,Horn,3,Horn,9,Root,8,,,
Jing Ke,42,https://vignette.wikia.nocookie.net/fategrandorder/images/4/4f/Jingkeicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a9/JingKeFinalIcon.png/revision/latest?cb=20180217094036,Jing Ke,3,Assassin,Man,B,A,Q,Q,Q,8293,7207,Permanent,pieceAssassin,4,,,,,pieceAssassin,8,Bone,15,,,,,monumentAssassin,4,Crystal,7,Lantern,4,monumentAssassin,8,Lantern,7,Dust,16,,,blueAssassin,4,,,,,blueAssassin,8,,,,,,,redAssassin,4,,,,,redAssassin,8,Crystal,4,,,,,goldAssassin,4,Crystal,7,,,goldAssassin,8,Bone,10,,,,,Bone,20,Feather,4,Feather,10,Dust,32,,,
Kama,239,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b7/S239Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e3/KamaFinalIcon.png/revision/latest?cb=20190328112713,Kama,5,Assassin,Sky,B,B,A,Q,Q,12889,11528,Limited,pieceAssassin,5,,,,,pieceAssassin,12,Tearstone,5,,,,,monumentAssassin,5,Wine,4,Mirror,2,monumentAssassin,12,Mirror,4,Dust,24,,,blueAssassin,5,,,,,blueAssassin,12,,,,,,,redAssassin,5,,,,,redAssassin,12,Wine,2,,,,,goldAssassin,5,Wine,4,,,goldAssassin,12,Tearstone,3,,,,,Tearstone,6,Heart,3,Heart,8,Lamp,15,Tokugawa Kaiten Meikyū Ōoku Re-Run,,
Karna,85,https://vignette.wikia.nocookie.net/fategrandorder/images/7/7a/Karnaicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/9/90/KarnaFinalIcon.png/revision/latest?cb=20180214132052,Karna,5,Lancer,Sky,B,B,A,Q,Q,13632,11976,Permanent,pieceLancer,5,,,,,pieceLancer,12,Crystal,8,,,,,monumentLancer,5,Gear,10,Feather,4,monumentLancer,12,Feather,8,Heart,5,,,blueLancer,5,,,,,blueLancer,12,,,,,,,redLancer,5,,,,,redLancer,12,Gear,5,,,,,goldLancer,5,Gear,10,,,goldLancer,12,Crystal,5,,,,,Crystal,10,Proof,18,Proof,54,Heart,10,Yuga Kshetra Chapter Release,Chaldea Boys Collection 2020,Christmas 2020
Karna [Santa],301,https://static.wikia.nocookie.net/fategrandorder/images/f/f9/S301Icon.png/,,https://static.wikia.nocookie.net/fategrandorder/images/f/f6/S301A4Icon.png/,Santa Karna,4,Saber,Sky,B,B,A,Q,Q,12877,9180,Welfare,Bag,1,,,,,Bag,1,,,,,,,Bag,1,,,,,Bag,1,,,,,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Dust,8,,,,,goldSaber,4,Dust,16,,,goldSaber,10,Chain,12,,,,,Chain,24,Crown,5,Crown,15,Vein,20,Christmas 2020,,
Kato Danzo,188,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c1/S188.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1e/KatouDanzouFinalIcon.png/revision/latest?cb=20180217094352,Kato Danzo,4,Assassin,Earth,B,B,A,Q,Q,11055,8935,Story-locked,pieceAssassin,4,,,,,pieceAssassin,10,Chain,18,,,,,monumentAssassin,4,Lantern,8,Fluid,12,monumentAssassin,10,Fluid,24,Gear,10,,,blueAssassin,4,,,,,blueAssassin,10,,,,,,,redAssassin,4,,,,,redAssassin,10,Lantern,4,,,,,goldAssassin,4,Lantern,8,,,goldAssassin,10,Chain,12,,,,,Chain,24,Dust,10,Dust,30,Magatama,20,Heian-kyou Pre-Release Campaign,,
Katsushika Hokusai,198,https://vignette.wikia.nocookie.net/fategrandorder/images/4/4c/Icon_Servant_198.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/40/KatsushikaHokusaiFinalIcon.png/revision/latest?cb=20180219125437,Hokusai,5,Foreigner,Man,B,B,A,A,Q,13230,12100,Limited,Fang,10,Seed,10,,,Feather,10,Horseshoe,10,,,,,Lanugo,10,Root,10,,,Magatama,10,Scarab,10,,,,,Bone,10,,,,,Dust,10,,,,,,,Page,12,,,,,Crystal,12,,,,,,,Lantern,12,,,,,Grease,15,,,,,,,Scale,15,,,Gallstone,15,,,Hunting Quest 10,,
Katsushika Hokusai [Saber],264,https://vignette.wikia.nocookie.net/fategrandorder/images/8/85/S264Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/8/89/KatsushikaHokusaiSaberFinalIcon.png,Saber Hokusai,4,Saber,Man,B,A,A,Q,Q,11873,9389,Welfare,Icecream,1,,,,,Icecream,1,,,,,,,Icecream,1,,,,,Icecream,1,,,,,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Seed,5,,,,,goldSaber,4,Seed,10,,,goldSaber,10,Seashell,4,,,,,Seashell,8,Magatama,5,Magatama,15,Bell,20,Las Vegas Official Bout,Las Vegas Official Bout Re-Run,
Kid Gil,95,https://vignette.wikia.nocookie.net/fategrandorder/images/5/5b/Kogilicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/29/KidGilFinalIcon.png/revision/latest?cb=20180213160040,Kid Gil,3,Archer,Sky,B,B,A,A,Q,8731,7696,Permanent,pieceArcher,4,,,,,pieceArcher,8,Seed,6,,,,,monumentArcher,4,Jewel,6,Scale,2,monumentArcher,8,Scale,3,Proof,24,,,blueArcher,4,,,,,blueArcher,8,,,,,,,redArcher,4,,,,,redArcher,8,Jewel,3,,,,,goldArcher,4,Jewel,6,,,goldArcher,8,Seed,4,,,,,Seed,8,Dust,8,Dust,24,Feather,13,,,
Kiichi Hougen,304,https://static.wikia.nocookie.net/fategrandorder/images/a/a3/S304Icon.png,,https://static.wikia.nocookie.net/fategrandorder/images/d/d2/S304A4Icon.png,Kiichi,4,Assassin,Earth,B,B,A,Q,Q,11168,9434,Welfare,Daiten Mask,1,,,,,Daiten Mask,1,,,,,,,Daiten Mask,1,,,,,Daiten Mask,1,,,,,,,blueAssassin,4,,,,,blueAssassin,10,,,,,,,redAssassin,4,,,,,redAssassin,10,Seed,5,,,,,goldAssassin,4,Seed,10,,,goldAssassin,10,Page,4,,,,,Page,8,Bell,5,Bell,15,Wine,8,Little Big Tengu,,
Kijo Kōyō,282,https://vignette.wikia.nocookie.net/fategrandorder/images/4/44/S282Icon.png/revision/latest/scale-to-width-down/75?cb=20200525135822,,https://vignette.wikia.nocookie.net/fategrandorder/images/8/8b/KijyoKoyoFinalIcon.png/revision/latest?cb=20200525144432,Dino Waifu,4,Berserker,Earth,B,B,B,A,Q,11250,9177,Limited,pieceBerserker,4,,,,,pieceBerserker,10,Fang,15,,,,,monumentBerserker,4,Claw,5,Grease,3,monumentBerserker,10,Grease,5,Scale,4,,,blueBerserker,4,,,,,blueBerserker,10,,,,,,,redBerserker,4,,,,,redBerserker,10,Claw,3,,,,,goldBerserker,4,Claw,5,,,goldBerserker,10,Fang,10,,,,,Fang,20,Ring,5,Ring,15,Mirror,8,Board Game Apocalypse (Requiem),,
Kingprotea,238,https://vignette.wikia.nocookie.net/fategrandorder/images/9/94/S238Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c1/KingproteaFinalIcon.png/revision/latest?cb=20190227113213,Kingprotea,5,Alter Ego,Earth,B,B,A,A,Q,13338,12835,Limited,pieceSaber,5,pieceRider,5,,,pieceSaber,12,pieceRider,12,,,,,monumentSaber,5,monumentRider,5,,,monumentSaber,12,monumentRider,12,,,,,blueSaber,5,blueRider,5,,,blueSaber,12,blueRider,12,,,,,redSaber,5,redRider,5,,,redSaber,12,redRider,12,,,,,goldSaber,5,goldRider,5,,,goldSaber,12,goldRider,12,,,,,Ring,5,Core,5,Scale,9,Root,9,Main Interlude: SE.RA.PH,,
Kiyohime,56,https://vignette.wikia.nocookie.net/fategrandorder/images/5/54/Kiyohimeicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/28/KiyohimeFinalIcon.png/revision/latest?cb=20180218073625,Kiyohime,3,Berserker,Earth,B,B,B,A,Q,9166,6644,Permanent,pieceBerserker,4,,,,,pieceBerserker,8,Lantern,5,,,,,monumentBerserker,4,Bone,20,Fang,8,monumentBerserker,8,Fang,16,Scale,4,,,blueBerserker,4,,,,,blueBerserker,8,,,,,,,redBerserker,4,,,,,redBerserker,8,Bone,10,,,,,goldBerserker,4,Bone,20,,,goldBerserker,8,Lantern,4,,,,,Lantern,7,Seed,5,Seed,15,Scale,7,,,
